date,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m
2018-12-05,305.682861328125,297.5985107421875,101148.1796875,288.0755310058594,0.0,0.13179747760295868,0.8856242299079895
2018-12-06,304.1949157714844,297.6329040527344,101237.0625,290.7315979003906,0.00032286159694194794,0.2219662219285965,-3.9777982234954834
2018-12-07,302.42645263671875,295.9374694824219,101023.4140625,289.22265625,0.011828715912997723,-0.1928403377532959,-3.9792439937591553
2018-12-08,301.3078308105469,293.2144775390625,101040.6015625,288.2371826171875,0.010977795347571373,0.3251226246356964,-2.2687296867370605
2018-12-09,298.0752868652344,292.3780822753906,101218.25,287.2564697265625,0.003930132836103439,0.30171430110931396,-3.5767905712127686
2018-12-10,296.54254150390625,289.9504699707031,101655.03125,285.11376953125,0.02424572966992855,-3.2206127643585205,-0.48880040645599365
2018-12-11,298.504638671875,291.4803771972656,101777.5390625,283.75360107421875,9.117648005485535e-06,-1.3952027559280396,-0.6052144169807434
2018-12-12,303.44720458984375,295.3387756347656,101404.8515625,286.17120361328125,2.7436763048171997e-06,1.3068169355392456,-0.7749991416931152
2018-12-13,306.20391845703125,298.772705078125,101466.5390625,290.8031005859375,4.284083843231201e-08,1.4973033666610718,0.09162372350692749
2018-12-14,303.82366943359375,295.8208312988281,101906.25,289.78900146484375,0.003338586539030075,-0.7932820320129395,-2.958811044692993
2018-12-15,303.3422546386719,295.5373840332031,101965.375,289.4977722167969,0.00200679711997509,1.340301513671875,0.2657950818538666
2018-12-16,304.373046875,297.2842712402344,101779.1171875,290.5872497558594,0.00013273395597934723,-0.41376736760139465,-1.048059105873108
2018-12-17,303.5502624511719,296.79364013671875,101648.40625,291.28131103515625,0.0013300590217113495,-0.18420381844043732,-1.7323592901229858
2018-12-18,302.6690673828125,294.8758544921875,101466.5234375,289.08197021484375,0.0032734759151935577,0.23756496608257294,-0.1966545581817627
2018-12-19,304.1363525390625,297.0885925292969,101068.5625,288.4676208496094,0.0002707522362470627,0.9951264262199402,-1.2943745851516724
2018-12-20,304.1153564453125,297.3821716308594,101160.1640625,290.1072082519531,0.00040329620242118835,-0.04614786431193352,-2.2391037940979004
2018-12-21,300.212890625,294.9541320800781,101571.90625,289.750732421875,0.0023101139813661575,-0.833020031452179,-3.9929420948028564
2018-12-22,302.4731140136719,294.594970703125,101352.5234375,289.8082275390625,0.010493826121091843,1.0688179731369019,-3.180938959121704
2018-12-23,303.72686767578125,297.0905456542969,101063.3515625,289.9626770019531,0.00012338347733020782,1.5160346031188965,-2.7458908557891846
2018-12-24,304.5703125,297.8188171386719,101010.84375,290.657958984375,1.512095332145691e-05,2.1914377212524414,-2.377795457839966
2018-12-25,306.0046081542969,299.3651428222656,100993.625,292.78778076171875,7.788650691509247e-05,2.1329989433288574,-2.6526129245758057
2018-12-26,306.9345397949219,300.224365234375,100986.7265625,293.7620544433594,0.0,2.1073198318481445,-2.2285497188568115
2018-12-27,306.19378662109375,298.7670593261719,101114.1796875,291.40081787109375,0.002586938440799713,1.6084332466125488,-2.126492738723755
2018-12-28,301.0627136230469,293.6850891113281,101648.7421875,288.9359130859375,0.02200680412352085,-1.4884519577026367,-0.19071738421916962
2018-12-29,293.3688049316406,290.70196533203125,102009.7578125,288.5958557128906,0.013406256213784218,-1.1630922555923462,-3.4504759311676025
2018-12-30,295.0145568847656,291.67474365234375,101892.71875,289.81103515625,0.020783089101314545,-0.11031937599182129,-1.060818076133728
2019-01-01,290.8771057128906,289.811279296875,101988.25,288.52313232421875,0.03977082669734955,-1.1301685571670532,-2.1070098876953125
