date,no2,tropospheric_no2,o3
2021-01-12,6.579690925741195e-05,,0.11423560021013414
2021-01-13,9.59145049764858e-05,,0.11597878311997593
2021-01-14,8.308951517430238e-05,3.291377279595694e-05,0.11501009991515691
2021-01-15,7.857347032816194e-05,,0.11754787148142844
2021-01-16,7.882351211711232e-05,,0.11705272914462242
2021-01-17,7.029885417913008e-05,2.1027632712588662e-05,0.11706475700240823
2021-01-18,0.00014960880958393518,7.744812984665656e-05,0.11704964465646416
2021-01-19,0.00010341826158464173,2.8655765781179793e-05,0.11757199258443891
2021-01-20,0.00012425035358882606,3.2506708880381766e-05,0.11747562424227609
2021-01-21,0.00020346542815945153,0.0001560777447035507,0.11701337008396599
2021-01-22,0.00017539189787212035,0.00012736258460503588,0.11799012905834745
2021-01-23,0.00021138380952290893,0.00016376808353079934,0.11574349614225285
2021-01-24,3.089061669821439e-05,,0.11090419445792968
2021-01-25,0.0001170284652291132,,0.112561407324182
2021-01-26,0.00011683834733263552,,0.11230247999182563
2021-01-27,7.443930095900058e-05,,0.11333661927500556
2021-01-28,7.170667722378675e-05,,0.11567512482308
2021-01-29,7.95692382926064e-05,,0.115408664019031
2021-01-30,7.951394051117916e-05,,0.114379596132681
2021-01-31,8.061017744656287e-05,,0.11283234501856722
2021-02-01,8.817432432963861e-05,,0.11334425411611099
2021-02-02,,,0.11220167652549701
2021-02-03,7.166415511260249e-05,,0.11348345927801015
2021-02-04,3.812698756098037e-05,,0.11435851679782871
2021-02-05,0.00024512617723174287,,0.11667584685183219
2021-02-06,0.00011876089649597642,,0.11155057061253032
2021-02-07,6.83412992192459e-05,,0.11722328968042875
2021-02-08,8.477873958349615e-05,,0.11521063442941784
2021-02-09,0.00013183493455812796,,0.11551098471501027
2021-02-10,0.00026221704984509715,0.00023456367939119036,0.11762305541312337
2021-02-11,0.00016466970036547313,,0.11738844215454881
2021-02-12,0.0001249415532963025,,0.11432126656335552
2021-02-13,7.19738736999096e-05,,0.11376086987343147
2021-02-14,7.293339697051247e-05,2.4142694695784148e-05,0.11435821815718178
2021-02-15,0.00011915222223308847,2.3838070698011055e-05,0.11377834798333061
2021-02-16,7.579448963010015e-05,3.113842740686561e-05,0.11469263587656059
2021-02-17,0.0001278480380409362,8.019921123959161e-05,0.11552706843505048
2021-02-18,6.584235938298546e-05,1.8058185508881723e-05,0.11491053085104545
2021-02-19,0.00016627342222363416,0.00013823771737517116,0.11451381854369613
2021-02-20,7.6882888299324e-05,3.1467387785013324e-05,0.11217636560240646
2021-02-21,9.582762177702737e-05,5.1904190315809705e-05,0.11450121923290717
2021-02-22,9.126797954785008e-05,,0.11499231305571443
